PMID,Title,Abstract,Processed_Abstract,Cluster,Entities,Dominant_Topic
24884531,Natural rice rhizospheric microbes suppress rice blast infections.,"The natural interactions between plant roots and their rhizospheric microbiome are vital to plant fitness, modulating both growth promotion and disease suppression. In rice (Oryza sativa), a globally important food crop, as much as 30% of yields are lost due to blast disease caused by fungal pathogen Magnaporthe oryzae. Capitalizing on the abilities of naturally occurring rice soil bacteria to reduce M. oryzae infections could provide a sustainable solution to reduce the amount of crops lost to blast disease. Naturally occurring root-associated rhizospheric bacteria were isolated from California field grown rice plants (M-104), eleven of which were taxonomically identified by 16S rRNA gene sequencing and fatty acid methyl ester (FAME) analysis. Bacterial isolates were tested for biocontrol activity against the devastating foliar rice fungal pathogen, M. oryzae pathovar 70-15. In vitro, a Pseudomonas isolate, EA105, displayed antibiosis through reducing appressoria formation by nearly 90% as well as directly inhibiting fungal growth by 76%. Although hydrogen cyanide (HCN) is a volatile commonly produced by biocontrol pseudomonads, the activity of EA105 seems to be independent of its HCN production. During in planta experiments, EA105 reduced the number of blast lesions formed by 33% and Pantoea agglomerans isolate, EA106 by 46%. Our data also show both EA105 and EA106 trigger jasmonic acid (JA) and ethylene (ET) dependent induced systemic resistance (ISR) response in rice. Out of 11 bacteria isolated from rice soil, pseudomonad EA105 most effectively inhibited the growth and appressoria formation of M. oryzae through a mechanism that is independent of cyanide production. In addition to direct antagonism, EA105 also appears to trigger ISR in rice plants through a mechanism that is dependent on JA and ET signaling, ultimately resulting in fewer blast lesions. The application of native bacteria as biocontrol agents in combination with current disease protection strategies could aid in global food security.",natural interaction plant root rhizospheric microbiome vital plant fitness modulating growth promotion disease suppression rice oryza sativa globally important food crop much yield lost due blast disease caused fungal pathogen magnaporthe oryzae capitalizing ability naturally occurring rice soil bacteria reduce oryzae infection could provide sustainable solution reduce amount crop lost blast disease naturally occurring rootassociated rhizospheric bacteria isolated california field grown rice plant eleven taxonomically identified rrna gene sequencing fatty acid methyl ester fame analysis bacterial isolates tested biocontrol activity devastating foliar rice fungal pathogen oryzae pathovar vitro pseudomonas isolate ea displayed antibiosis reducing appressoria formation nearly well directly inhibiting fungal growth although hydrogen cyanide hcn volatile commonly produced biocontrol pseudomonad activity ea seems independent hcn production planta experiment ea reduced number blast lesion formed pantoea agglomerans isolate ea data also show ea ea trigger jasmonic acid ja ethylene et dependent induced systemic resistance isr response rice bacteria isolated rice soil pseudomonad ea effectively inhibited growth appressoria formation oryzae mechanism independent cyanide production addition direct antagonism ea also appears trigger isr rice plant mechanism dependent ja et signaling ultimately resulting fewer blast lesion application native bacteria biocontrol agent combination current disease protection strategy could aid global food security,2,"{'Disease': ['natural interaction plant root rhizospheric microbiome vital plant fitness modulating growth promotion disease suppression rice oryza sativa', 'due blast disease', 'amount crop lost blast disease', 'fewer blast lesion application native bacteria biocontrol agent combination current disease protection strategy'], 'Treatment': [], 'Symptom': ['ea effectively inhibited growth appressoria formation oryzae mechanism independent cyanide production addition']}",1
31137840,Rice Genome Resequencing Reveals a Major Quantitative Trait Locus for Resistance to Bakanae Disease Caused by <i>Fusarium fujikuroi</i>.,"Bakanae disease (BD), caused by the fungal pathogen <i>Fusarium fujikuroi</i>, has become a serious threat in rice-cultivating regions worldwide. In the present study, quantitative trait locus (QTL) mapping was performed using F2 and F3 plants derived after crossing a BD-resistant and a BD-susceptible Korean japonica rice variety, 'Samgwang' and 'Junam', respectively. Resequencing of 'Junam' and 'Samgwang' genomes revealed 151,916 DNA polymorphisms between the two varieties. After genotyping 188 F2 plants, we constructed a genetic map comprising 184 markers, including 175 kompetitive allele-specific PCR markers, eight cleaved amplified polymorphic sequence (CAPS) markers, and a derived CAPS (dCAPS) marker. The degree of BD susceptibility of each F2 plant was evaluated on the basis of the mortality rate measured with corresponding F3 progeny seedlings by in vitro screening. Consequently, <i>qFfR9</i>, a major QTL, was discovered at 30.1 centimorgan (cM) on chromosome 9 with a logarithm of the odds score of 60.3. For the QTL interval, 95% probability lay within a 7.24-7.56 Mbp interval. In this interval, we found that eight genes exhibited non-synonymous single nucleotide polymorphisms (SNPs) by comparing the 'Junam' and 'Samgwang' genome sequence data, and are possibly candidate genes for <i>qFfR9</i>; therefore, <i>qFfR9</i> could be utilized as a valuable resource for breeding BD-resistant rice varieties.",bakanae disease bd caused fungal pathogen ifusarium fujikuroii become serious threat ricecultivating region worldwide present study quantitative trait locus qtl mapping performed using f f plant derived crossing bdresistant bdsusceptible korean japonica rice variety samgwang junam respectively resequencing junam samgwang genome revealed dna polymorphism two variety genotyping f plant constructed genetic map comprising marker including kompetitive allelespecific pcr marker eight cleaved amplified polymorphic sequence cap marker derived cap dcaps marker degree bd susceptibility f plant evaluated basis mortality rate measured corresponding f progeny seedling vitro screening consequently iqffri major qtl discovered centimorgan cm chromosome logarithm odds score qtl interval probability lay within mbp interval interval found eight gene exhibited nonsynonymous single nucleotide polymorphism snp comparing junam samgwang genome sequence data possibly candidate gene iqffri therefore iqffri could utilized valuable resource breeding bdresistant rice variety,0,"{'Disease': ['bakanae disease'], 'Treatment': [], 'Symptom': []}",2
39181086,Ammonium enhances rice resistance to Magnaporthe oryzae through H<sub>2</sub>O<sub>2</sub> accumulation.,"Nitrogen (N) is essential for the physiological processes of plants. However, the specific mechanisms by which different nitrogen forms influence rice blast pathogenesis remain poorly understood. This study used hydroponic assays to explore how ammonium (NH<sub>4</sub><sup>+</sup>) and nitrate (NO<sub>3</sub><sup>-</sup>) affect rice after inoculation with Magnaporthe oryzae (M. oryzae). The results showed that NH<sub>4</sub><sup>+</sup>, compared to NO<sub>3</sub><sup>-</sup>, significantly reduced disease severity, fungal growth, fungal hyphae number, the expansion capacity of infectious hyphae, and disease-related loss of photosynthesis. Additionally, NH<sub>4</sub><sup>+</sup> enhanced the expression of defense-related genes, including OsPBZ1, OsCHT1, OsPR1a, and OsPR10. NH<sub>4</sub><sup>+</sup>-treated rice also exhibited higher hydrogen peroxide (H<sub>2</sub>O<sub>2</sub>) accumulation and increased antioxidant enzyme activities. Moreover, susceptibility to rice blast disease increased when H<sub>2</sub>O<sub>2</sub> was scavenged, while a reduction in susceptibility was observed with the application of exogenous H<sub>2</sub>O<sub>2</sub>. These results suggest that ammonium enhances rice resistance to M. oryzae, potentially through H<sub>2</sub>O<sub>2</sub> accumulation. The findings provide valuable insights into how different nitrogen forms affect plant immunity in rice, which is crucial for controlling rice blast and ensuring stable food production.",nitrogen n essential physiological process plant however specific mechanism different nitrogen form influence rice blast pathogenesis remain poorly understood study used hydroponic assay explore ammonium nhsubsubsupsup nitrate nosubsubsupsup affect rice inoculation magnaporthe oryzae oryzae result showed nhsubsubsupsup compared nosubsubsupsup significantly reduced disease severity fungal growth fungal hypha number expansion capacity infectious hypha diseaserelated loss photosynthesis additionally nhsubsubsupsup enhanced expression defenserelated gene including ospbz oscht ospra ospr nhsubsubsupsuptreated rice also exhibited higher hydrogen peroxide hsubsubosubsub accumulation increased antioxidant enzyme activity moreover susceptibility rice blast disease increased hsubsubosubsub scavenged reduction susceptibility observed application exogenous hsubsubosubsub result suggest ammonium enhances rice resistance oryzae potentially hsubsubosubsub accumulation finding provide valuable insight different nitrogen form affect plant immunity rice crucial controlling rice blast ensuring stable food production,2,"{'Disease': ['nosubsubsupsup significantly reduced disease severity fungal growth fungal hypha number expansion capacity infectious hypha diseaserelated loss photosynthesis', 'susceptibility rice blast disease'], 'Treatment': [], 'Symptom': []}",3
25403621,Genome-wide association study of blast resistance in indica rice.,"Rice blast disease is one of the most serious and recurrent problems in rice-growing regions worldwide. Most resistance genes were identified by linkage mapping using genetic populations. We extensively examined 16 rice blast strains and a further genome-wide association study based on genotyping 0.8 million single nucleotide polymorphism variants across 366 diverse indica accessions. Totally, thirty associated loci were identified. The strongest signal (Chr11_6526998, P =1.17 × 10-17) was located within the gene Os11g0225100, one of the rice Pia-blast resistance gene. Another association signal (Chr11_30606558) was detected around the QTL Pif. Our study identified the gene Os11g0704100, a disease resistance protein containing nucleotide binding site-leucine rich repeat domain, as the main candidate gene of Pif. In order to explore the potential mechanism underlying the blast resistance, we further examined a locus in chromosome 12, which was associated with CH149 (P =7.53 × 10-15). The genes, Os12g0424700 and Os12g0427000, both described as kinase-like domain containing protein, were presumed to be required for the full function of this locus. Furthermore, we found some association on chromosome 3, in which it has not been reported any loci associated with rice blast resistance. In addition, we identified novel functional candidate genes, which might participate in the resistance regulation. This work provides the basis of further study of the potential function of these candidate genes. A subset of true associations would be weakly associated with outcome in any given GWAS; therefore, large-scale replication is necessary to confirm our results. Future research will focus on validating the effects of these candidate genes and their functional variants using genetic transformation and transferred DNA insertion mutant screens, to verify that these genes engender resistance to blast disease in rice.",rice blast disease one serious recurrent problem ricegrowing region worldwide resistance gene identified linkage mapping using genetic population extensively examined rice blast strain genomewide association study based genotyping million single nucleotide polymorphism variant across diverse indica accession totally thirty associated locus identified strongest signal chr p × located within gene osg one rice piablast resistance gene another association signal chr detected around qtl pif study identified gene osg disease resistance protein containing nucleotide binding siteleucine rich repeat domain main candidate gene pif order explore potential mechanism underlying blast resistance examined locus chromosome associated ch p × gene osg osg described kinaselike domain containing protein presumed required full function locus furthermore found association chromosome reported locus associated rice blast resistance addition identified novel functional candidate gene might participate resistance regulation work provides basis study potential function candidate gene subset true association would weakly associated outcome given gwas therefore largescale replication necessary confirm result future research focus validating effect candidate gene functional variant using genetic transformation transferred dna insertion mutant screen verify gene engender resistance blast disease rice,0,"{'Disease': ['rice blast disease one serious recurrent problem ricegrowing region worldwide resistance gene', 'gene osg disease resistance protein', 'insertion mutant screen verify gene engender resistance blast disease rice'], 'Treatment': [], 'Symptom': ['effect candidate gene functional variant']}",3
35576156,The bacterial effector AvrRxo1 inhibits vitamin B6 biosynthesis to promote infection in rice.,"Xanthomonas oryzae pv. oryzicola (Xoc), which causes rice bacterial leaf streak, invades leaves mainly through stomata, which are often closed as a plant immune response against pathogen invasion. How Xoc overcomes stomatal immunity is unclear. Here, we show that the effector protein AvrRxo1, an ATP-dependent protease, enhances Xoc virulence and inhibits stomatal immunity by targeting and degrading rice OsPDX1 (pyridoxal phosphate synthase), thereby reducing vitamin B6 (VB6) levels in rice. VB6 is required for the activity of aldehyde oxidase, which catalyzes the last step of abscisic acid (ABA) biosynthesis, and ABA positively regulates rice stomatal immunity against Xoc. Thus, we provide evidence supporting a model in which a major bacterial pathogen inhibits plant stomatal immunity by directly targeting VB6 biosynthesis and consequently inhibiting the biosynthesis of ABA in guard cells to open stomata. Moreover, AvrRxo1-mediated VB6 targeting also explains the poor nutritional quality, including low VB6 levels, of Xoc-infected rice grains.",xanthomonas oryzae pv oryzicola xoc cause rice bacterial leaf streak invades leaf mainly stoma often closed plant immune response pathogen invasion xoc overcomes stomatal immunity unclear show effector protein avrrxo atpdependent protease enhances xoc virulence inhibits stomatal immunity targeting degrading rice ospdx pyridoxal phosphate synthase thereby reducing vitamin b vb level rice vb required activity aldehyde oxidase catalyzes last step abscisic acid aba biosynthesis aba positively regulates rice stomatal immunity xoc thus provide evidence supporting model major bacterial pathogen inhibits plant stomatal immunity directly targeting vb biosynthesis consequently inhibiting biosynthesis aba guard cell open stoma moreover avrrxomediated vb targeting also explains poor nutritional quality including low vb level xocinfected rice grain,2,"{'Disease': [], 'Treatment': [], 'Symptom': ['unclear show effector protein avrrxo atpdependent protease']}",4
21046317,Identification of genes contributing to quantitative disease resistance in rice.,"Despite the importance of quantitative disease resistance during a plant's life, little is known about the molecular basis of this type of host-pathogen interaction, because most of the genes underlying resistance quantitative trait loci (QTLs) are unknown. To identify genes contributing to resistance QTLs in rice, we analyzed the colocalization of a set of characterized rice defense-responsive genes and resistance QTLs against different pathogens. We also examined the expression patterns of these genes in response to pathogen infection in the parents of the mapping populations, based on the strategy of validation and functional analysis of the QTLs. The results suggest that defense-responsive genes are important resources of resistance QTLs in rice. OsWRKY45-1 is the gene contributing to a major resistance QTL. NRR, OsGH3-1, and OsGLP members on chromosome 8 contribute alone or collectively to different minor resistance QTLs. These genes function in a basal resistance pathway or in major disease resistance gene-mediated race-specific pathways.",despite importance quantitative disease resistance plant life little known molecular basis type hostpathogen interaction gene underlying resistance quantitative trait locus qtls unknown identify gene contributing resistance qtls rice analyzed colocalization set characterized rice defenseresponsive gene resistance qtls different pathogen also examined expression pattern gene response pathogen infection parent mapping population based strategy validation functional analysis qtls result suggest defenseresponsive gene important resource resistance qtls rice oswrky gene contributing major resistance qtl nrr osgh osglp member chromosome contribute alone collectively different minor resistance qtls gene function basal resistance pathway major disease resistance genemediated racespecific pathway,0,"{'Disease': ['importance quantitative disease resistance plant life'], 'Treatment': [], 'Symptom': []}",2
28211849,Improvement of multiple agronomic traits by a disease resistance gene via cell wall reinforcement.,"The major disease resistance gene Xa4 confers race-specific durable resistance against Xanthomonas oryzae pv. oryzae, which causes the most damaging bacterial disease in rice worldwide. Although Xa4 has been one of the most widely exploited resistance genes in rice production worldwide, its molecular nature remains unknown. Here we show that Xa4, encoding a cell wall-associated kinase, improves multiple traits of agronomic importance without compromising grain yield by strengthening the cell wall via promoting cellulose synthesis and suppressing cell wall loosening. Strengthening of the cell wall by Xa4 enhances resistance to bacterial infection, and also increases mechanical strength of the culm with slightly reduced plant height, which may improve lodging resistance of the rice plant. The simultaneous improvement of multiple agronomic traits conferred by Xa4 may account for its widespread and lasting utilization in rice breeding programmes globally.",major disease resistance gene xa confers racespecific durable resistance xanthomonas oryzae pv oryzae cause damaging bacterial disease rice worldwide although xa one widely exploited resistance gene rice production worldwide molecular nature remains unknown show xa encoding cell wallassociated kinase improves multiple trait agronomic importance without compromising grain yield strengthening cell wall via promoting cellulose synthesis suppressing cell wall loosening strengthening cell wall xa enhances resistance bacterial infection also increase mechanical strength culm slightly reduced plant height may improve lodging resistance rice plant simultaneous improvement multiple agronomic trait conferred xa may account widespread lasting utilization rice breeding programme globally,4,"{'Disease': ['major disease resistance gene', 'bacterial disease rice'], 'Treatment': [], 'Symptom': []}",1
38834685,The unconventional resistance protein PTR recognizes the Magnaporthe oryzae effector AVR-Pita in an allele-specific manner.,"Blast disease caused by the fungus Magnaporthe oryzae is one of the most devastating rice diseases. Disease resistance genes such as Pi-ta or Pi-ta2 are critical in protecting rice production from blast. Published work reports that Pi-ta codes for a nucleotide-binding and leucine-rich repeat domain protein (NLR) that recognizes the fungal protease-like effector AVR-Pita by direct binding. However, this model was challenged by the recent discovery that Pi-ta2 resistance, which also relies on AVR-Pita detection, is conferred by the unconventional resistance gene Ptr, which codes for a membrane protein with a cytoplasmic armadillo repeat domain. Here, using NLR Pi-ta and Ptr RNAi knockdown and CRISPR/Cas9 knockout mutant rice lines, we found that AVR-Pita recognition relies solely on Ptr and that the NLR Pi-ta has no role in it, indicating that it is not the Pi-ta resistance gene. Different alleles of Ptr confer different recognition specificities. The A allele of Ptr (PtrA) detects all natural sequence variants of the effector and confers Pi-ta2 resistance, while the B allele of Ptr (PtrB) recognizes a restricted set of AVR-Pita alleles and, thereby, confers Pi-ta resistance. Analysis of the natural diversity in AVR-Pita and of mutant and transgenic strains identified one specific polymorphism in the effector sequence that controls escape from PtrB-mediated resistance. Taken together, our work establishes that the M. oryzae effector AVR-Pita is detected in an allele-specific manner by the unconventional rice resistance protein Ptr and that the NLR Pi-ta has no function in Pi-ta resistance and the recognition of AVR-Pita.",blast disease caused fungus magnaporthe oryzae one devastating rice disease disease resistance gene pita pita critical protecting rice production blast published work report pita code nucleotidebinding leucinerich repeat domain protein nlr recognizes fungal proteaselike effector avrpita direct binding however model challenged recent discovery pita resistance also relies avrpita detection conferred unconventional resistance gene ptr code membrane protein cytoplasmic armadillo repeat domain using nlr pita ptr rnai knockdown crisprcas knockout mutant rice line found avrpita recognition relies solely ptr nlr pita role indicating pita resistance gene different allele ptr confer different recognition specificity allele ptr ptra detects natural sequence variant effector confers pita resistance b allele ptr ptrb recognizes restricted set avrpita allele thereby confers pita resistance analysis natural diversity avrpita mutant transgenic strain identified one specific polymorphism effector sequence control escape ptrbmediated resistance taken together work establishes oryzae effector avrpita detected allelespecific manner unconventional rice resistance protein ptr nlr pita function pita resistance recognition avrpita,4,"{'Disease': ['blast disease', 'fungus magnaporthe'], 'Treatment': [], 'Symptom': ['fungal proteaselike effector avrpita direct binding however model', 'one specific polymorphism effector sequence control', 'oryzae effector avrpita']}",1
17981989,Glufosinate ammonium-induced pathogen inhibition and defense responses culminate in disease protection in bar-transgenic rice.,"Glufosinate ammonium diminished developments of rice (Oryza sativa) blast and brown leaf spot in 35S:bar-transgenic rice. Pre- and postinoculation treatments of this herbicide reduced disease development. Glufosinate ammonium specifically impeded appressorium formation of the pathogens Magnaporthe grisea and Cochliobolus miyabeanus on hydrophobic surface and on transgenic rice. In contrast, conidial germination remained unaffected. Glufosinate ammonium diminished mycelial growth of two pathogens; however, this inhibitory effect was attenuated in malnutrition conditions. Glufosinate ammonium caused slight chlorosis and diminished chlorophyll content; however, these alterations were almost completely restored in transgenic rice within 7 d. Glufosinate ammonium triggered transcriptions of PATHOGENESIS-RELATED (PR) genes and hydrogen peroxide accumulation in transgenic rice and PR1 transcription in Arabidopsis (Arabidopsis thaliana) wild-type ecotype Columbia harboring 35S:bar construct. All transgenic Arabidopsis showed robust hydrogen peroxide accumulation by glufosinate ammonium. This herbicide also induced PR1 transcription in etr1 and jar1 expressing bar; however, no expression was observed in NahG and npr1. Fungal infection did not alter transcriptions of PR genes and hydrogen peroxide accumulation induced by glufosinate ammonium. Infiltration of glufosinate ammonium did not affect appressorium formation of M. grisea in vivo but inhibited blast disease development. Hydrogen peroxide scavengers nullified blast protection and transcriptions of PR genes by glufosinate ammonium; however, they did not affect brown leaf spot progression. In sum, both direct inhibition of pathogen infection and activation of defense systems were responsible for disease protection in bar-transgenic rice.",glufosinate ammonium diminished development rice oryza sativa blast brown leaf spot sbartransgenic rice pre postinoculation treatment herbicide reduced disease development glufosinate ammonium specifically impeded appressorium formation pathogen magnaporthe grisea cochliobolus miyabeanus hydrophobic surface transgenic rice contrast conidial germination remained unaffected glufosinate ammonium diminished mycelial growth two pathogen however inhibitory effect attenuated malnutrition condition glufosinate ammonium caused slight chlorosis diminished chlorophyll content however alteration almost completely restored transgenic rice within glufosinate ammonium triggered transcription pathogenesisrelated pr gene hydrogen peroxide accumulation transgenic rice pr transcription arabidopsis arabidopsis thaliana wildtype ecotype columbia harboring sbar construct transgenic arabidopsis showed robust hydrogen peroxide accumulation glufosinate ammonium herbicide also induced pr transcription etr jar expressing bar however expression observed nahg npr fungal infection alter transcription pr gene hydrogen peroxide accumulation induced glufosinate ammonium infiltration glufosinate ammonium affect appressorium formation grisea vivo inhibited blast disease development hydrogen peroxide scavenger nullified blast protection transcription pr gene glufosinate ammonium however affect brown leaf spot progression sum direct inhibition pathogen infection activation defense system responsible disease protection bartransgenic rice,2,"{'Disease': ['development rice oryza sativa blast brown leaf spot sbartransgenic rice pre postinoculation treatment herbicide reduced disease development glufosinate ammonium', 'grisea vivo inhibited blast disease development hydrogen peroxide scavenger', 'infection activation defense system responsible disease protection bartransgenic rice'], 'Treatment': ['development rice oryza sativa blast brown leaf spot sbartransgenic rice pre postinoculation treatment herbicide reduced disease development glufosinate ammonium'], 'Symptom': []}",3
26765864,Suppression of bacterial infection in rice by treatment with a sulfated peptide.,"The rice XA21 receptor kinase confers robust resistance to bacterial blight disease caused by Xanthomonas oryzae pv. oryzae (Xoo). A tyrosine-sulfated peptide from Xoo, called RaxX, triggers XA21-mediated immune responses, including the production of ethylene and reactive oxygen species and the induction of defence gene expression. It has not been tested previously whether these responses confer effective resistance to Xoo. Here, we describe a newly established post-inoculation treatment assay that facilitates investigations into the effect of the sulfated RaxX peptide in planta. In this assay, rice plants were inoculated with a virulent strain of Xoo and then treated with the RaxX peptide 2 days after inoculation. We found that post-inoculation treatment of XA21 plants with the sulfated RaxX peptide suppresses the development of Xoo infection in XA21 rice plants. The treated plants display restricted lesion development and reduced bacterial growth. Our findings demonstrate that exogenous application of sulfated RaxX activates XA21-mediated immunity in planta, and provides a potential strategy for the control of bacterial disease in the field.",rice xa receptor kinase confers robust resistance bacterial blight disease caused xanthomonas oryzae pv oryzae xoo tyrosinesulfated peptide xoo called raxx trigger xamediated immune response including production ethylene reactive oxygen specie induction defence gene expression tested previously whether response confer effective resistance xoo describe newly established postinoculation treatment assay facilitates investigation effect sulfated raxx peptide planta assay rice plant inoculated virulent strain xoo treated raxx peptide day inoculation found postinoculation treatment xa plant sulfated raxx peptide suppresses development xoo infection xa rice plant treated plant display restricted lesion development reduced bacterial growth finding demonstrate exogenous application sulfated raxx activates xamediated immunity planta provides potential strategy control bacterial disease field,3,"{'Disease': ['robust resistance bacterial blight disease', 'potential strategy control bacterial disease field'], 'Treatment': ['newly established postinoculation treatment assay facilitates investigation effect', 'postinoculation treatment xa plant'], 'Symptom': ['effective resistance', 'newly established postinoculation treatment assay facilitates investigation effect']}",2
18257679,OsRAR1 and OsSGT1 physically interact and function in rice basal disease resistance.,"The RAR1 and SGT1 proteins function synergistically or antagonistically in plant innate immune responses. Here, we show that the rice orthologs OsRAR1 and OsSGT1 physically interact in vivo and in yeast. They displayed conserved roles in Arabidopsis disease resistance through ectopic expression in the Arabidopsis rar1 and sgt1 mutants. Overexpression of OsRar1 and OsSGT1 in rice significantly increased basal resistance to a virulent bacterial blight Xanthomonas oryzae pv. oryzae PXO99 but not to another virulent strain DY89031, suggesting race-specific-like basal resistance conferred by OsRar1 and OsSGT1. OsRar1-OE and OsSGT1-OE plants also enhanced resistance to all four virulent blast fungal Magnaporthe oryzae races. Overexpression of the OsSGT1-green fluorescent protein (GFP) fusion most likely caused a dominant negative phenotype which led to race-specific-like basal resistance. Transgenic plants overexpressing OsSGT1-GFP show enhanced resistance to DY89031 but decreased resistance to PXO99, implying that OsSGT1 might be the target of a component required for DY89031 virulence or OsSGT1-GFP might stabilize weak resistance proteins against DY89031. Consistent with the hypothesis of the dominant negative regulation, we observed the reduced sensitivity to auxin of OsSGT1-GFP plants compared with the wild-type ones, and the curling-root phenotype in OsSGT1-OE plants. These results collectively suggest that OsRar1 and OsSGT1 might be differentially required for rice basal disease resistance. Our current study also provides new insight into the roles of OsSGT1 in basal disease resistance.",rar sgt protein function synergistically antagonistically plant innate immune response show rice orthologs osrar ossgt physically interact vivo yeast displayed conserved role arabidopsis disease resistance ectopic expression arabidopsis rar sgt mutant overexpression osrar ossgt rice significantly increased basal resistance virulent bacterial blight xanthomonas oryzae pv oryzae pxo another virulent strain dy suggesting racespecificlike basal resistance conferred osrar ossgt osraroe ossgtoe plant also enhanced resistance four virulent blast fungal magnaporthe oryzae race overexpression ossgtgreen fluorescent protein gfp fusion likely caused dominant negative phenotype led racespecificlike basal resistance transgenic plant overexpressing ossgtgfp show enhanced resistance dy decreased resistance pxo implying ossgt might target component required dy virulence ossgtgfp might stabilize weak resistance protein dy consistent hypothesis dominant negative regulation observed reduced sensitivity auxin ossgtgfp plant compared wildtype one curlingroot phenotype ossgtoe plant result collectively suggest osrar ossgt might differentially required rice basal disease resistance current study also provides new insight role ossgt basal disease resistance,2,"{'Disease': ['conserved role arabidopsis disease resistance ectopic expression arabidopsis rar sgt mutant overexpression', 'rice basal disease resistance current study', 'new insight role ossgt basal disease resistance'], 'Treatment': [], 'Symptom': []}",3
33602120,Genome-wide association of rice response to blast fungus identifies loci for robust resistance under high nitrogen.,"Nitrogen fertilization is known to increase disease susceptibility, a phenomenon called Nitrogen-Induced Susceptibility (NIS). In rice, this phenomenon has been observed in infections with the blast fungus Magnaporthe oryzae. A previous classical genetic study revealed a locus (NIS1) that enhances susceptibility to rice blast under high nitrogen fertilization. In order to further address the underlying genetics of plasticity in susceptibility to rice blast after fertilization, we analyzed NIS under greenhouse-controlled conditions in a panel of 139 temperate japonica rice strains. A genome-wide association analysis was conducted to identify loci potentially involved in NIS by comparing susceptibility loci identified under high and low nitrogen conditions, an approach allowing for the identification of loci validated across different nitrogen environments. We also used a novel NIS Index to identify loci potentially contributing to plasticity in susceptibility under different nitrogen fertilization regimes. A global NIS effect was observed in the population, with the density of lesions increasing by 8%, on average, under high nitrogen fertilization. Three new QTL, other than NIS1, were identified. A rare allele of the RRobN1 locus on chromosome 6 provides robust resistance in high and low nitrogen environments. A frequent allele of the NIS2 locus, on chromosome 5, exacerbates blast susceptibility under the high nitrogen condition. Finally, an allele of NIS3, on chromosome 10, buffers the increase of susceptibility arising from nitrogen fertilization but increases global levels of susceptibility. This allele is almost fixed in temperate japonicas, as a probable consequence of genetic hitchhiking with a locus involved in cold stress adaptation. Our results extend to an entire rice subspecies the initial finding that nitrogen increases rice blast susceptibility. We demonstrate the usefulness of estimating plasticity for the identification of novel loci involved in the response of rice to the blast fungus under different nitrogen regimes.",nitrogen fertilization known increase disease susceptibility phenomenon called nitrogeninduced susceptibility ni rice phenomenon observed infection blast fungus magnaporthe oryzae previous classical genetic study revealed locus ni enhances susceptibility rice blast high nitrogen fertilization order address underlying genetics plasticity susceptibility rice blast fertilization analyzed ni greenhousecontrolled condition panel temperate japonica rice strain genomewide association analysis conducted identify locus potentially involved ni comparing susceptibility locus identified high low nitrogen condition approach allowing identification locus validated across different nitrogen environment also used novel ni index identify locus potentially contributing plasticity susceptibility different nitrogen fertilization regime global ni effect observed population density lesion increasing average high nitrogen fertilization three new qtl ni identified rare allele rrobn locus chromosome provides robust resistance high low nitrogen environment frequent allele ni locus chromosome exacerbates blast susceptibility high nitrogen condition finally allele ni chromosome buffer increase susceptibility arising nitrogen fertilization increase global level susceptibility allele almost fixed temperate japonica probable consequence genetic hitchhiking locus involved cold stress adaptation result extend entire rice subspecies initial finding nitrogen increase rice blast susceptibility demonstrate usefulness estimating plasticity identification novel locus involved response rice blast fungus different nitrogen regime,0,"{'Disease': ['nitrogen fertilization known increase disease susceptibility phenomenon', 'response rice blast fungus different nitrogen regime'], 'Treatment': [], 'Symptom': ['global ni effect']}",3
26940322,Exogenous proteinogenic amino acids induce systemic resistance in rice.,"Plant immune responses can be induced by endogenous and exogenous signaling molecules. Recently, amino acids and their metabolites have been reported to affect the plant immune system. However, how amino acids act in plant defense responses has yet to be clarified. Here, we report that treatment of rice roots with amino acids such as glutamate (Glu) induced systemic disease resistance against rice blast in leaves. Treatment of roots with Glu activated the transcription of a large variety of defense-related genes both in roots and leaves. In leaves, salicylic acid (SA)-responsive genes, rather than jasmonic acid (JA) or ethylene (ET)-responsive genes, were induced by this treatment. The Glu-induced blast resistance was partially impaired in rice plants deficient in SA signaling such as NahG plants expressing an SA hydroxylase, WRKY45-knockdown, and OsNPR1-knockdown plants. The JA-deficient mutant cpm2 exhibited full Glu-induced blast resistance. Our results indicate that the amino acid-induced blast resistance partly depends on the SA pathway but an unknown SA-independent signaling pathway is also involved.",plant immune response induced endogenous exogenous signaling molecule recently amino acid metabolite reported affect plant immune system however amino acid act plant defense response yet clarified report treatment rice root amino acid glutamate glu induced systemic disease resistance rice blast leaf treatment root glu activated transcription large variety defenserelated gene root leaf leaf salicylic acid saresponsive gene rather jasmonic acid ja ethylene etresponsive gene induced treatment gluinduced blast resistance partially impaired rice plant deficient sa signaling nahg plant expressing sa hydroxylase wrkyknockdown osnprknockdown plant jadeficient mutant cpm exhibited full gluinduced blast resistance result indicate amino acidinduced blast resistance partly depends sa pathway unknown saindependent signaling pathway also involved,2,"{'Disease': [], 'Treatment': ['treatment gluinduced blast resistance'], 'Symptom': []}",4
